Instrument;Date de début;Date de fin;Taux
spot;02/07/2010;02/08/2010;0,34844
spot;02/07/2010;02/09/2010;0,43188
spot;02/07/2010;04/10/2010;0,53394
forward;02/08/2010;02/11/2010;0,561
forward;02/09/2010;02/12/2010;0,617
forward;04/10/2010;03/01/2011;0,7075
forward;02/11/2010;02/02/2011;0,73
forward;02/12/2010;02/03/2011;0,745
forward;03/01/2011;04/04/2011;0,765
forward;02/02/2011;03/05/2011;0,787
forward;02/03/2011;02/06/2011;0,817
forward;04/04/2011;04/07/2011;0,85
forward;04/07/2011;03/10/2011;0,957
forward;04/07/2011;03/01/2012;1,21
forward;04/07/2011;02/07/2012;1,495
forward;02/07/2012;02/07/2015;1,588
forward;02/07/2015;02/07/2020;1,745
forward;02/07/2020;02/07/2030;1,887
forward;02/07/2030;02/07/2040;2,102
